,9 Mile Station,Kelvin & Mandy Slater,"Beergarden, American",Old Fourth Ward,"Ponce City Market, 1829 675 Ponce De Leon Ave NE, Atlanta, GA 30308",https://www.9milestation.com/,9milestation
,A Haute Cookie,Shiana Whithe,Cookies,Grant Park,"1039 Grant St SE b17, Atlanta, GA 30315",https://www.ahautecookie.com/,ahautecookie
,A Taste Of Paradise,Nicola McIntyre,Jamaican,Lilburn,"4805 Lawrenceville Hwy, Suite 300, Lilburn, Georgia 30047",https://www.facebook.com/atasteofparadiselilburn,atasteofparadiselilburn
Yes,AfroDish,,"African, Jamaican, Caribbean",Sweet Auburn (Curb Market),"209 Edgewood Ave SE, Atlanta, Georgia 30303",https://www.facebook.com/Afrodish/,afrodishrestaurant
Yes,Anna's BBQ,Lakesia Phelps,BBQ,Kirkwood,1976 Hosea L Williams Dr NEAtlantaGA30317,https://www.annasbbqrestaurantatlanta.com/,annasbbq
,Ann's Snack Bar,Price Family,Hamburgers,Kirkwood,"1615 Memorial Dr SE, Atlanta, GA 30317",,
Yes,Apple-Butter Bakery,Shellane Brown,"Bakery, Custom Cakes",Stone Mountain,"5370 Stone Mountain Highway, Stone Mountain, GA",http://www.applebutterbakery.com/,applebutterbakery
Yes,Atlanta Breakfast Club,Anthony Sanders and O. Osiris Ballard,Southern Breakfast,Downtown,"249 Ivan Allen Jr. Blvd., Atlanta, GA 30313",https://www.atlantabreakfastclub.com/,_atlantabreakfastclub
Yes,Baltimore Crab and Seafood,Shema Fulton,Seafood,Fairburn,"1075 Fairburn RD SW, Atlanta, GA 30331",http://www.baltimorecrabandseafood.com/,baltimorecrabandseafood
Yes,Bakerdude Bakery and Cafe,Orran Booher,"Cakes, Pizza",Grant Park (The Beacon),"1039 Grant Street SE, Ste B18, ​Atlanta, GA 30315",https://www.bakerdude.com,bakerdudecakes
Yes,Ben and Jerrys (Beltline),Phillip Scotton,Ice cream,Inman Park (Beltline),"312 North Highland Avenue Northeast Suite B, Atlanta, GA 30307",https://www.benjerry.com/atlanta-inmanpark/catering,benjerryatlanta
Yes,B's Cracklin' BBQ ATL,Bryan Furman,BBQ,Eastside Beltline (Kroger),"725 Ponce De Leon Ave NE, Atlanta, Georgia 30318",https://www.facebook.com/BsCracklinBBQATL/,@bscracklinbbqatl
Yes,Bella,Shema Fulton,"Brunch, Dinner, Drinks",South Fulton,"3220 Butner Rd. at The Shops at Camp Creek. Atlanta, GA 30331",https://www.bellarestaurantatl.com/,bellaonbutner
Yes,The Beverly,Mario Johnson,Caribbean Fusion,Grant Park/East Atlanta Village,"790 Glenwood Ave SE. Ste 260, Atlanta, GA 30316",https://www.thebeverlyatl.com/,thebeverlyatl
Yes,Big Dave's Cheesesteaks,Derrick Hayes,"Cheesesteaks, ""A Taste of Philly""",Downtown,"57 FORSYTH ST. NW, ATLANTA, GA 30303",https://www.thebigdavescheesesteaks.com/,bigdavescheesesteaks
Yes,Blendz Cafe,Keisha Mackie and Kim Bowden,"Coffee, Juice, Smoothies, Desserts, Vegan",Atlanta,"1699 Sylvan Rd Atlanta, GA 30312",https://www.blendzcafe.com/home,blendzcafeatl
Yes,B & L Wings,Bradwick and Lawonda Malone,"Wings, Comfort Food",Embry Hills,"3996 Pleasantdale Rd. Doraville, GA 30340",http://bnlwings.com/,bandlwings
Yes,BQE Restaurant & Lounge,Kenya Amos,Soul,Sweet Auburn,"262 Edgewood Avenue NE, Atlanta GA 30303",https://www.bqelounge.com/,bqelounge
Yes,Busy Bee Cafe,Tracy Gates,Soul,Historic Westside/Downtown,"810 MARTIN LUTHER KING, JR DR, SW,ATLANTA, GA 30314",https://www.thebusybeecafe.com/,thebusybeeatl
,BUZZ Coffee and Winehouse,,Coffeeshop,Westside Beltline,"2315 Cascade Rd SW, Atlanta, GA 30311",https://www.buzzcoffeeandwine.com/location,buzz.cascade
,Caffe Bella,Stephanie Thomas,Coffee Shop,Westside,"1133 Huff Rd NW suite f, Atlanta, GA 30318",http://caffebellaatl.com/,cafe_bella2018
,Cakes From the Heart Bakery,,Bakery,Online,Online Only,http://www.cakefromtheheart.com/,cakefromtheheart_powdersprings
,CalaBar & Grill,Kerry Wright ,Caribbean/fusion ,Stone Mountain ,"4144 Redan Road stone Mountain, Ga. 30083",http://www.calabarandgrill.com/about/,calabarandgrill
,Cami Cakes Cupcakes,Andra Hall,"Cupcakes, Cakes, Icecream",Buckhead,"Northwest, 2221 Peachtree Rd B, Atlanta, GA 30309",https://www.camicakes.com/,camicakescupcakes
,Cami Cakes Cupcakes,Andra Hall,"Cupcakes, Cakes, Icecream",Vinings,"4338 Paces Ferry Rd SE #108, Atlanta, GA 30339",https://www.camicakes.com/,camicakescupcakes
,Cami Cakes Cupcakes,Andra Hall,"Cupcakes, Cakes, Icecream",Smyrna,"4500 W Village Pl #1009, Smyrna, GA 30080",https://www.camicakes.com/,camicakescupcakes
,Cami Cakes Cupcakes,Andra Hall,"Cupcakes, Cakes, Icecream",East Point,"3560 Camp Creek Pkwy, East Point, GA 30344",https://www.camicakes.com/,camicakescupcakes
,C'est Si Bon Pastry & Restaurant,Joseph Michel,"Caribbean, Haitian",Smyrna,"560 Windy Hill Rd SE, Smyrna, GA 30080",https://www.facebook.com/pages/category/Caribbean-Restaurant/Cest-Si-Bon-Cafe-277812339256913/,
Yes,Cheesecaked,Shawn Brown,"Milkshakes, Desserts, Party Pacakges",Lindbergh,"800 Miami circle, Atlanta GA 30324",https://getcheesecaked.com/,cheesecaked
,Chef Lowell Catering,Chef Lowell,"Catering, Meals to Go",Atlanta,Online,https://cheflowell.com/,cheflowell
Yes,Chef Rob’s Caribbean Cafe,Chef Rob,Caribbean,Roswell,"Parkside Shopping Center 5920 Roswell Rd NE, Atlanta, GA 30328",https://chefrobscafe.com/,chefrobscafe
Yes,Chicken + Beer,Chris 'Ludacris' Bridges,Southern Comfort Food,"Airport, Concourse D","6000 N Terminal Pkwy, Atlanta, GA 30320",http://chickenandbeer.com/,chicken_beeratl
,Chris' Caribbean Bistro,Chris Campbell,Caribbean,Symrna,"4479 South Cobb Dr., Smyrna, GA",https://www.chriscaribbean.com/,
Yes,Cigaros of Georgia,Conrad Dobson,Bar (with cigars!),South Fulton,"3220 Butner Rd SW, Atlanta, Georgia 30331",https://www.facebook.com/CigarosofGeorgia/,
,Club Candy Atlanta,Brandion Johnson,Candy Store and Event Space,Downtown,"12 Park Place, Atlanta GA. 30303",https://www.clubcandyatl.com/,clubcandyatl
Yes,Cravings Express,Xhef Marlo,"Private Chef, Catering",Online,Online,https://www.chefmarlo.com/,chef_marlo
Yes,Daddy D’z the BBQ Joynt,Jermon Brooker,BBQ,Grant Park,"264 Memorial Drive Southeast, Atlanta, GA 30312",https://daddydz.com/,daddydzbbq
Yes,Dat Fire Jerk Chicken,Jay John,Jamaican,University Center,"226 Northside Drive SW, ​Atlanta, GA 30313",https://www.datfirejerkchicken.com/,datfirejerkchicken
,Delight Your Palate Caribbean Chicken & Fish,,Caribbean,Scottdale,"3358 East Ponce de Leon Avenue, Scottdale",https://www.facebook.com/pages/Delight-Your-Palate-Caribbean-Chicken-Fish/354787941249050,
Yes,Desta Ethiopian Kitchen,Ash Nega and Titi Demissie,Ethiopian,North Druid Hills,"3086 Briarcliff Road Northeast, Atlanta, GA 30329",https://destaethiopiankitchen.com/,destaethiopiankitchen
Yes,Desta Ethiopian Kitchen,Ash Nega and Titi Demissie,Ethiopian,Emory,"1520 Avenue Place, Atlanta, GA 30329",https://destaethiopiankitchen.com/,destaethiopiankitchen
,Duck Donuts,Russ DiGilio and Robin Griffith,Donuts,Buckhead,"3655 Roswell Rd, Unit 210Atlanta, GA",https://www.duckdonuts.com/,
,Dusé Coffee Company,Iyasu Dusé,Coffee,Atlanta,Online Sales (non-profit),https://dusecoffee.com/,dusecoffee
Yes,Endulge Cupcake Boutique,Patricia Williams and Cherita Kempson,Cupcakes,Ormewood Park,"749 Moreland Avenue, Atlanta, GA 30316",https://www.cupcakeendulgers.com/,endulgers
Yes,Escobar,Tauheed Epps (2 Chainz),Seafood-heavy Southern,Castleberry Hill,"327 Peters St. SW, Atlanta, GA 30313",http://www.escobaratlanta.com/menu/,escobaratlanta
,Fat Sisters,Tamika Hurley-Carr and Genia Petrice,"Catering, Meal Prep",Hapeville,"625 N Central Avenue Atlanta, Georgia",https://fat-sisters.com/,fatsistersatlanta
